horse_id,horse_name,sex,trainer,trainer_id,sire,sire_id,dam,dam_id,sire_of_dam,bms_id,owner,breeder,total_prize,sire_birth_year,dam_birth_year,bms_birth_year
2025107946,オジョウサンの2025,牝,,,パレスマリス,000a014a1a,オジョウサン,2018100102,ジャスタウェイ,2009106461,,ラベンダーファーム,0.0,2010.0,2018.0,2009.0
2025107945,アンプレヴーの2025,牡,,,パレスマリス,000a014a1a,アンプレヴー,2006103376,トワイニング,000a000006,,ラベンダーファーム,0.0,2010.0,2006.0,1991.0
2025107944,アマルティアの2025,牝,,,パレスマリス,000a014a1a,アマルティア,2013106245,アドマイヤムーン,2003102991,,ラベンダーファーム,0.0,2010.0,2013.0,2003.0
2025107943,アイアンハートの2025,牝,,,ヨシダ,2014106077,アイアンハート,2014100039,サウスヴィグラス,1996110138,,ラベンダーファーム,0.0,2014.0,2014.0,1996.0
2025107942,モティヴェートミーの2025,牡,,,リアルスティール,2012104889,モティヴェートミー,000a01fd2c,Motivator,000a010c91,,木村秀則,0.0,2012.0,2016.0,2002.0
2025107941,クラシカルビジューの2025,牡,,,パレスマリス,000a014a1a,クラシカルビジュー,2020103335,サトノクラウン,2012104668,,木村秀則,0.0,2010.0,2020.0,2012.0
2025107940,ゼロカラノキセキの2025,牡,高柳大輔,,パンサラッサ,2017106711,ゼロカラノキセキ,2013104098,キンシャサノキセキ,2003110212,広尾レース,西村牧場,0.0,2017.0,2013.0,2003.0
2025107939,メイショウサイウンの2025,牡,,,ニューイヤーズデイ,000a014589,メイショウサイウン,2018106491,ハービンジャー,000a011996,,まるとみ冨岡牧場,0.0,2011.0,2018.0,2006.0
2025107938,ストームハートの2025,牡,蛯名正義,,コントレイル,2017101835,ストームハート,2016110160,Uncaptured,000a01368e,広尾レース,辻牧場,0.0,2017.0,2016.0,2010.0
2025107937,Northの2025,牡,,,Vadeni,000a01c200,North,000a01fa8b,Dark Angel,000a0122b4,,Mr Manabu Kuriyama,0.0,2019.0,2017.0,2005.0
2025107935,C'Est Caの2025,牝,,,Siyouni,000a012056,C'Est Ca,000a02c698,Galileo,000a00232b,,China Horse Club International Ltd,0.0,2007.0,2015.0,1998.0
2025107934,Restless Endeavourの2025,牡,,,Sioux Nation,000a014b9f,Restless Endeavour,000a02c697,Dandy Man,000a012a41,,Manor Farm Bloodstock,0.0,2015.0,2017.0,2003.0
2025107933,Counterparty Riskの2025,牡,[西],,No Nay Never,000a013cf5,Counterparty Risk,000a02c69a,Australia,000a012499,サンデーレーシング,,0.0,2011.0,2017.0,2011.0
2025107932,フォーリンフロムヘヴンの2025,牝,,,エフフォーリア,2018105027,フォーリンフロムヘヴン,000a01fc9a,Postponed,000a012bad,,木村秀則,0.0,2018.0,2019.0,2011.0
2025107931,ルミナスティの2025,牝,,,ダノンキングリー,2016102179,ルミナスティ,2021105782,ドゥラメンテ,2012104511,,ＶＥＲＳＡＩＬＬＥＳＳＴＡＢＬＥ,0.0,2016.0,2021.0,2012.0
2025107930,Biddy Dukeの2025,牡,,,Forte,000a01c880,Biddy Duke,000a02048e,Bayern,000a012900,,Shadai Corporation,0.0,2020.0,2017.0,2011.0
2025107929,Arinaの2025,牡,[東],,Epicenter,000a01bf42,Arina,000a026dcb,Soldier Hollow,000a0102ff,社台レースホース,Shadai Corporation,0.0,2019.0,2019.0,2000.0
2025107928,Morticiaの2025,牝,,,Mitole,000a01b998,Morticia,000a0200d7,Twirling Candy,000a01316b,,Dr. Naoya Yoshida,0.0,2015.0,2014.0,2007.0
2025107927,マカラプアの2025,牝,,,トビーズコーナー,000a011fed,マカラプア,2018102137,グラスワンダー,1995108676,,吉野新作,0.0,2008.0,2018.0,1995.0
2025107926,リンダリンダリンダの2025,牝,,,インカンテーション,2010104916,リンダリンダリンダ,2017100116,オルフェーヴル,2008102636,,ヤスナカファーム,0.0,2010.0,2017.0,2008.0
2025107925,ラブロッソーの2025,牡,,,フクム,000a01bf4b,ラブロッソー,2017101761,モンテロッソ,000a011b05,,ヤスナカファーム,0.0,2017.0,2017.0,2007.0
2025107924,ラブパイローの2025,牡,,,ウィルテイクチャージ,000a01372f,ラブパイロー,2019107033,パイロ,000a01176a,,ヤスナカファーム,0.0,2010.0,2019.0,2005.0
2025107923,ユウギリの2025,牝,,,シスキン,000a01aa3d,ユウギリ,2020106735,ラブリーデイ,2010104298,,ヤスナカファーム,0.0,2017.0,2020.0,2010.0
2025107922,ムービングアウトの2025,牝,,,ヒガシウィルウィン,2014104453,ムービングアウト,2004104363,Langfuhr,000a0021ab,,ヤスナカファーム,0.0,2014.0,2004.0,1992.0
2025107921,ムスターヴェルクの2025,牡,,,シスキン,000a01aa3d,ムスターヴェルク,2014105819,ハーツクライ,2001103038,,ヤスナカファーム,0.0,2017.0,2014.0,2001.0
2025107920,ミギーフェイスの2025,牡,,,オメガパフューム,2015104273,ミギーフェイス,2019106807,アメリカンペイトリオット,000a013bba,,ヤスナカファーム,0.0,2015.0,2019.0,2013.0
2025107919,マカリカの2025,牡,,,ストラクター,000a01c2a3,マカリカ,2016101162,ロードカナロア,2008103552,,ヤスナカファーム,0.0,2017.0,2016.0,2008.0
2025107918,ブルジュドバイの2025,牝,,,ロジャーバローズ,2016106065,ブルジュドバイ,2020103587,キタサンブラック,2012102013,,ヤスナカファーム,0.0,2016.0,2020.0,2012.0
2025107917,ピースフルジョイの2025,牡,,,ダノンレジェンド,2010110102,ピースフルジョイ,2015102139,パイロ,000a01176a,,ヤスナカファーム,0.0,2010.0,2015.0,2005.0
2025107916,ピュアコンチェルトの2025,牡,,,マインドユアビスケッツ,000a01392e,ピュアコンチェルト,2013105666,キンシャサノキセキ,2003110212,,ヤスナカファーム,0.0,2013.0,2013.0,2003.0
2025107915,バブルガムダンサーの2025,牡,,,マテラスカイ,2014110060,バブルガムダンサー,2017100161,パイロ,000a01176a,,ヤスナカファーム,0.0,2014.0,2017.0,2005.0
2025107914,ハットシテグーの2025,牡,,,テーオーケインズ,2017101010,ハットシテグー,2011110080,エンパイアメーカー,000a010542,,ヤスナカファーム,0.0,2017.0,2011.0,2000.0
2025107913,シンフェイスの2025,牝,,,サリオス,2017105327,シンフェイス,2017102461,ルーラーシップ,2007103143,,ヤスナカファーム,0.0,2017.0,2017.0,2007.0
2025107912,シルヴィーエムの2025,牝,,,ヒガシウィルウィン,2014104453,シルヴィーエム,2017106180,エスケンデレヤ,000a012cc0,,ヤスナカファーム,0.0,2014.0,2017.0,2007.0
2025107911,サエールフェイスの2025,牝,,,カフェファラオ,2017110151,サエールフェイス,2019102502,ザファクター,000a0130d0,,ヤスナカファーム,0.0,2017.0,2019.0,2008.0
2025107910,ゲッテルフンケンの2025,牡,,,ヒガシウィルウィン,2014104453,ゲッテルフンケン,2016101806,ストロングリターン,2006102934,,ヤスナカファーム,0.0,2014.0,2016.0,2006.0
