horse_id,horse_name,sire_ei,bms_ei,sire_2yo_ei,sire_win_rate,bms_win_rate,sire_runners,sire_progeny_prize,bms_runners,bms_progeny_prize,sire_rank_score,bms_rank_score,dam_prize,sire_prize,trainer_score,owner_score,breeder_score,birth_month,sire_age,dam_age,dam_sire_age,early_born,sire_young,dam_young,both_parents_young,sire_first_crop,dam_bms_gap_small,sale_price_log,foal_number,dam_breeding_age,total_dam_foals,sibling_classic,dam_progeny_quality,sire_classic_count,sire_classic_rate,sire_oaks_count,sire_oaks_rate,bms_classic_count,dam_high_class,sire_precocity,sire_ei_trend,imported_dam,sire_dam_interaction,trainer_breeder_combo,owner_trainer_combo,bms_dam_interaction,sire_is_stayer,sire_is_mid_dist,bms_is_miler,bms_is_sprinter,stayer_x_miler,bms_is_speed,mid_x_speed,score
2023107179,ダーリングハースト,1.45,5.04,0.0,0.251,0.524,334,320067.2,21,70191.7,96.0,54.0,0.0,68779.0,92.0,90.0,95.0,4,13.0,10.0,23.0,1,1.0,1.0,1.0,0.0,1.0,0.0,6.0,5.0,6,0,0.0,4,1.1976047904191618,2,0.5988023952095809,1,0,0.0,0.5599999999999999,1,0.0,8740.0,8280.0,0.0,1,0,1,0,1,1,1,390.4553778516906
2023103822,フルールドール,1.45,1.17,0.0,0.251,0.275,334,320067.2,528,411030.5,96.0,98.0,3836.0,68779.0,85.0,90.0,85.0,2,13.0,10.0,22.0,1,1.0,1.0,1.0,0.0,1.0,0.0,3.0,7.0,3,0,0.0,4,1.1976047904191618,2,0.5988023952095809,7,0,0.0,0.5599999999999999,0,11.96604683085808,7225.0,7650.0,9.655361925588933,1,0,1,0,1,1,1,376.5744103316688
2023105292,サンダーバード,1.45,1.1,0.0,0.251,0.256,334,320067.2,628,459826.7,96.0,100.0,3826.0,68779.0,82.0,78.0,95.0,2,13.0,9.0,21.0,1,1.0,1.0,1.0,0.0,1.0,10.261196961231647,4.0,6.0,4,0,0.0,4,1.1976047904191618,2,0.5988023952095809,3,0,0.0,0.5599999999999999,0,11.962262903867266,7790.0,6396.0,9.074820133968272,1,0,0,0,0,0,0,371.30767378863277
2023107309,ジリアート,1.45,1.04,0.0,0.251,0.274,334,320067.2,288,199310.0,96.0,92.0,88738.0,68779.0,88.0,82.0,95.0,4,13.0,9.0,22.0,1,1.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,2,0,0.0,4,1.1976047904191618,2,0.5988023952095809,1,1,0.0,0.5599999999999999,0,16.520509396191358,8360.0,7216.0,11.849192946233801,1,0,0,0,0,0,0,359.31960907527605
2023107146,ドリームコア,1.87,2.02,0.0,0.383,0.231,342,425123.5,147,196652.3,100.0,90.0,36728.0,47639.0,83.0,85.0,95.0,2,13.0,8.0,17.0,1,1.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,2,0,0.0,5,1.461988304093567,3,0.8771929824561403,2,1,0.0,0.28,0,19.656171976827586,7885.0,7055.0,21.23287026373889,0,0,1,0,0,1,0,358.47498658367385
2023106887,ストロベリーツリー,1.76,1.17,0.0,0.358,0.275,151,176691.0,528,411030.5,80.0,98.0,0.0,187684.0,89.0,88.0,95.0,3,11.0,16.0,22.0,1,1.0,0.0,0.0,0.0,1.0,0.0,12.0,4.0,12,0,0.0,3,1.9867549668874174,1,0.6622516556291391,7,0,0.0,-1.1500000000000001,0,0.0,8455.0,7832.0,0.0,1,0,1,0,1,1,1,358.0771222964457
2023107138,ケールハイム,1.45,1.1,0.0,0.251,0.256,334,320067.2,628,459826.7,96.0,100.0,26319.0,68779.0,85.0,90.0,95.0,3,13.0,15.0,21.0,1,1.0,0.0,0.0,0.0,1.0,0.0,9.0,7.0,9,0,0.0,4,1.1976047904191618,2,0.5988023952095809,3,1,0.0,0.5599999999999999,0,14.758222358886918,8075.0,7650.0,11.195892823983181,1,0,0,0,0,0,0,357.64430820089905
2023105300,スウィッチインラヴ,0.0,1.53,0.0,0.0,0.286,0,0.0,77,78247.1,0.0,60.0,0.0,119529.0,88.0,74.0,95.0,3,6.0,9.0,25.0,1,1.0,1.0,1.0,1.0,0.0,9.83633227734872,3.0,7.0,3,0,0.0,0,0.0,0,0.0,1,0,0.0,0.0,1,0.0,8360.0,6512.0,0.0,1,0,1,0,1,1,1,355.7747260492991
2023107208,プリモマーレ,1.68,1.1,0.0,0.295,0.256,346,385055.3,628,459826.7,98.0,100.0,20600.0,66995.0,89.0,82.0,95.0,3,15.0,8.0,21.0,1,0.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,2,0,0.0,3,0.8670520231213872,1,0.2890173410404624,3,1,0.0,0.25,0,16.68759942744516,8455.0,7298.0,10.926404387017666,0,0,0,0,0,0,0,352.24484867185305
2023107046,アランカール,1.45,1.1,0.0,0.251,0.256,334,320067.2,628,459826.7,96.0,100.0,28642.0,68779.0,84.0,82.0,95.0,2,13.0,10.0,21.0,1,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,5,0,0.0,4,1.1976047904191618,2,0.5988023952095809,3,1,0.0,0.5599999999999999,0,14.880863328078663,7980.0,6888.0,11.2889308006114,1,0,0,0,0,0,0,351.8577582335692
