horse_id,horse_name,sex,sire_ei,bms_ei,sire_2yo_ei,sire_win_rate,bms_win_rate,sire_runners,sire_progeny_prize,bms_runners,sire_rank_score,bms_rank_score,bms_progeny_prize,dam_prize,sire_prize,trainer_score,owner_score,breeder_score,birth_month,sire_age,dam_age,dam_sire_age,early_born,sire_young,dam_young,both_parents_young,sire_first_crop,dam_bms_gap_small,sale_price_log,foal_number,dam_breeding_age,total_dam_foals,sibling_classic,sire_classic_count,sire_classic_rate,imported_dam,dam_progeny_quality,sire_dam_interaction,trainer_breeder_combo,owner_trainer_combo,bms_dam_interaction,score
2024106398,スクールミストレスの2024,1,1.94,1.13,0.0,0.375,0.667,341,440117.9,9,100.0,0.0,6729.4,0.0,47639.0,90.0,82.0,95.0,1,14,11,25,1,0,1,0,0,1,0.0,5.0,7.0,5,0,8,2.346041055718475,1,0.0,0.0,8550.0,7380.0,0.0,673.9823073860238
2024106368,ダイナマイク,1,1.97,0.0,0.0,0.293,0.0,208,272546.4,1,96.0,0.0,0.0,0.0,187684.0,89.0,78.0,95.0,3,12,6,11,1,1,1,1,0,1,10.181157167204903,2.0,5.0,2,0,5,2.403846153846154,1,0.0,0.0,8455.0,6942.0,0.0,668.6838369616482
2024106607,ポンデザールの2024,1,1.03,1.54,0.0,0.288,0.222,198,134898.4,329,76.0,96.0,335812.1,11940.0,52358.0,90.0,90.0,95.0,2,8,9,23,1,1,1,1,0,1,0.0,3.0,7.0,3,0,1,0.5050505050505051,0,0.0,9.669365129599386,8550.0,8100.0,14.457109028721412,653.6212545043679
2024106535,ムービー,0,1.94,0.88,0.0,0.375,0.154,341,440117.9,26,100.0,0.0,15155.2,0.0,47639.0,89.0,78.0,95.0,3,14,11,34,1,0,1,0,0,0,0.0,5.0,6.0,5,0,8,2.346041055718475,1,0.0,0.0,8455.0,6942.0,0.0,650.6164141522542
2024106339,サンダードラムの2024,0,1.97,1.03,0.0,0.293,0.298,208,272546.4,47,96.0,8.0,32038.0,0.0,187684.0,89.0,82.0,95.0,4,12,6,22,1,1,1,1,0,0,0.0,1.0,6.0,1,0,5,2.403846153846154,1,0.0,0.0,8455.0,7298.0,0.0,644.4733292946554
2024106211,ヴォーセルの2024,1,1.94,0.67,0.0,0.375,0.364,341,440117.9,11,100.0,0.0,4926.0,0.0,47639.0,87.0,82.0,95.0,2,14,7,18,1,0,1,0,0,1,0.0,2.0,6.0,2,0,8,2.346041055718475,1,0.0,0.0,8265.0,7134.0,0.0,644.247796385075
2024106542,ヤングリッチ,1,1.22,2.61,0.0,0.257,0.231,191,155073.3,26,82.0,28.0,45175.6,0.0,88155.0,88.0,78.0,95.0,4,10,11,24,1,1,1,1,0,1,10.404293143019792,7.0,5.0,7,0,1,0.5235602094240838,1,0.0,0.0,8360.0,6864.0,0.0,643.9472540774763
2024106363,シングルゲイズの2024,0,1.97,0.48,0.0,0.293,0.5,208,272546.4,2,96.0,0.0,644.0,0.0,187684.0,87.0,82.0,95.0,1,12,12,23,1,1,1,1,0,1,0.0,5.0,8.0,5,0,5,2.403846153846154,1,0.0,0.0,8265.0,7134.0,0.0,643.0632955362253
2024106164,アーモンドアイの2024,0,1.97,0.55,0.0,0.293,0.197,208,272546.4,178,96.0,54.0,64880.2,151956.0,187684.0,87.0,82.0,95.0,1,12,9,16,1,1,1,1,0,1,0.0,3.0,7.0,3,0,5,2.403846153846154,0,0.0,23.504765144186536,8265.0,7134.0,6.5622440757881195,641.2665568592964
2024106674,ブレイクガール,0,1.94,0.88,0.0,0.375,1.0,341,440117.9,2,100.0,0.0,1176.0,0.0,47639.0,82.0,78.0,95.0,2,14,7,15,1,0,1,0,0,1,9.642187721358466,3.0,5.0,3,0,8,2.346041055718475,1,0.0,0.0,7790.0,6396.0,0.0,640.3383892312334
2024106553,フローレスマジックの2024,1,1.2,1.21,0.0,0.302,0.283,315,251282.6,686,92.0,100.0,549313.6,12435.0,68779.0,87.0,90.0,95.0,1,14,10,22,1,0,1,0,0,1,0.0,4.0,7.0,4,0,4,1.2698412698412698,0,0.0,11.314020925414374,8265.0,7830.0,11.40830443312616,639.1532027692028
2024106722,アイデア,1,0.83,0.84,0.0,0.249,0.254,197,108784.4,315,72.0,88.0,176021.4,4547.0,0.0,89.0,75.0,95.0,1,10,11,23,1,1,1,1,0,1,8.612685172875459,4.0,7.0,4,0,0,0.0,0,0.0,6.990627569542454,8455.0,6675.0,7.074851998091159,638.8036479926126
2024106602,ボインビューティーの2024,1,1.97,1.44,0.0,0.293,0.265,208,272546.4,49,96.0,34.0,46971.6,0.0,187684.0,90.0,50.0,95.0,2,12,8,27,1,1,1,1,0,0,0.0,4.0,5.0,4,0,5,2.403846153846154,1,0.0,0.0,8550.0,4500.0,0.0,638.1685764290982
2024106160,アンフィトリテIIの2024,1,1.86,0.48,0.0,0.319,0.333,326,402126.4,3,98.0,0.0,950.0,0.0,66995.0,87.0,74.0,95.0,3,16,9,19,1,0,1,0,0,1,0.0,4.0,6.0,4,0,3,0.9202453987730062,1,0.0,0.0,8265.0,6438.0,0.0,637.6716316554651
2024107196,ゴールデンプロミス,1,0.54,4.43,0.0,0.238,0.75,80,28808.9,4,0.0,0.0,11787.1,0.0,119529.0,88.0,78.0,95.0,2,7,8,14,1,1,1,1,1,1,9.94755228369823,3.0,6.0,3,0,0,0.0,1,0.0,0.0,8360.0,6864.0,0.0,635.6750336621745
2024106139,アドマイヤローザの2024,1,1.97,1.55,0.0,0.293,0.257,208,272546.4,171,96.0,90.0,176100.5,4241.0,187684.0,85.0,90.0,95.0,3,12,10,18,1,1,1,1,0,1,0.0,4.0,7.0,4,0,5,2.403846153846154,0,0.0,16.45499656619552,8075.0,7650.0,12.946824709443174,635.1708454806757
2024106203,タイセイ,1,1.17,1.21,0.0,0.182,0.283,192,149696.0,686,80.0,100.0,549313.6,1555.0,54976.0,90.0,75.0,95.0,2,17,9,22,1,0,1,0,0,1,8.438366410870266,2.0,8.0,2,0,1,0.5208333333333333,0,0.0,8.599352234543854,8550.0,6750.0,8.893347182733388,634.7849345714719
2024106622,マルシュロレーヌの2024,1,1.97,1.01,0.0,0.293,0.265,208,272546.4,98,96.0,56.0,65947.6,6607.0,187684.0,88.0,82.0,95.0,3,12,8,16,1,1,1,1,0,1,0.0,2.0,7.0,2,0,5,2.403846153846154,0,0.0,17.328191540945603,8360.0,7216.0,8.883996678352823,634.6100821442984
2024106653,モアナの2024,1,1.94,0.37,0.0,0.375,0.139,341,440117.9,79,100.0,0.0,19581.7,10045.0,47639.0,85.0,90.0,95.0,3,14,10,21,1,0,1,0,0,1,0.0,3.0,8.0,3,0,8,2.346041055718475,0,0.0,17.876963859161382,8075.0,7650.0,3.4095240349946967,632.9329736521776
2024106486,ドナウデルタの2024,0,1.2,0.55,0.0,0.302,0.197,315,251282.6,178,92.0,54.0,64880.2,12738.0,68779.0,90.0,82.0,95.0,1,14,8,16,1,0,1,0,0,1,0.0,2.0,7.0,2,0,4,1.2698412698412698,0,0.0,11.342908119731744,8550.0,7380.0,5.198832888210384,632.7323429543902
2024106547,フォースタークルックの2024,1,0.54,2.14,0.0,0.238,1.0,80,28808.9,3,0.0,0.0,4260.0,0.0,119529.0,88.0,90.0,95.0,2,7,12,26,1,1,1,1,1,1,0.0,4.0,8.0,4,0,0,0.0,1,0.0,0.0,8360.0,7920.0,0.0,628.7622285929979
